Restaurant,Ratings,Cusine,Price_For_1,Links,Distance,Offers
Taproom By Sherlock's,4.3,"North Indian, Oriental, Continental, Biryani, Pizza, Pasta, Desserts, Beverages",900.0,https://www.zomato.com/bangalore/taproom-by-sherlocks-jp-nagar-bangalore/info,7.4 km,25% OFF
Toca Brigade,4.2,"Chinese, Fast Food, Steak, Pasta, Asian, Biryani, Desserts",600.0,https://www.zomato.com/bangalore/toca-brigade-brigade-road-bangalore/info,1.5 km,10% OFF
Tall Oaks,4.5,"Asian, Continental, North Indian, Chinese, Seafood, Mexican, Bar Food, South Indian",600.0,https://www.zomato.com/bangalore/tall-oaks-seegehalli-bangalore/info,19 km,-
Masaledaar Desi Rasoi,4.3,"North Indian, Chinese, Desserts, Beverages",400.0,https://www.zomato.com/bangalore/masaledaar-desi-rasoi-jayanagar-bangalore/info,5.9 km,-
Byg Brewski Brewing Company,4.5,"Continental, North Indian, Asian, Fast Food, Pizza, Pasta, Burger, Desserts",1000.0,https://www.zomato.com/bangalore/byg-brewski-brewing-company-sarjapur-road-bangalore/info,11.6 km,-
Brooks And Bonds Brewery,4.1,"Continental, American, North Indian, Italian, Fast Food, Beverages, Desserts",1000.0,https://www.zomato.com/bangalore/brooks-and-bonds-brewery-koramangala-5th-block-bangalore/info,5.2 km,15% OFF
Feast - Sheraton Grand Bangalore Hotel at Brigade Gateway,4.5,"North Indian, Continental, Fast Food, Asian, Beverages",1750.0,https://www.zomato.com/bangalore/feast-sheraton-grand-bangalore-hotel-at-brigade-gateway-malleshwaram-bangalore/info,6.3 km,15% OFF
Punjab Grill,4.2,"North Indian, Kebab, Biryani, Mughlai",1000.0,https://www.zomato.com/bangalore/punjab-grill-rajajinagar-bangalore/info,3.5 km,15% OFF
The Scene - Craft Kitchen & Bar,4.2,"North Indian, Continental, Asian, Desserts, Beverages",750.0,https://www.zomato.com/bangalore/the-scene-craft-kitchen-bar-jp-nagar-bangalore/info,7.4 km,-
Gawky Goose,4.4,"Italian, Biryani, North Indian, Fast Food, Seafood, Asian, Desserts, Beverages",1100.0,https://www.zomato.com/bangalore/gawky-goose-airport-road-bangalore/info,6.6 km,15% OFF
Gochick,3.8,"Burger, Fast Food",200.0,https://www.zomato.com/bangalore/gochick-hsr-bangalore/info,8.9 km,10% OFF
No Limmits Lounge And Club,3.8,"Chinese, Continental, North Indian, Fast Food, Pizza, Beverages",1250.0,https://www.zomato.com/bangalore/no-limmits-lounge-and-club-brigade-road-bangalore/info,1.8 km,25% OFF
Macaw By Stories,4.2,"South Indian, North Indian, Chinese, Pasta, Pizza, Fast Food, Salad, Desserts",900.0,https://www.zomato.com/bangalore/macaw-by-stories-bommanahalli-bangalore/info,11.1 km,-
VYANA - World Cuisine,3.9,"Modern Indian, Oriental, Continental, Chinese, North Indian, Pizza, Italian, Desserts",850.0,https://www.zomato.com/bangalore/vyana-world-cuisine-jp-nagar-bangalore/info,6.8 km,10% OFF
Aurum Brew Works,4.3,"North Indian, Continental, Asian, Beverages, Desserts",750.0,https://www.zomato.com/bangalore/aurum-brew-works-sarjapur-road-bangalore/info,12 km,10% OFF
Nomad PizzaBar,4.6,"Pizza, Italian, Beverages, Burger, Mexican, Pasta, Cafe",750.0,https://www.zomato.com/bangalore/nomad-pizzabar-indiranagar-bangalore/info,5 km,15% OFF
Red Rhino,4.4,"Continental, North Indian, Asian, Oriental, Mediterranean, Mangalorean, Beverages, Desserts",1000.0,https://www.zomato.com/bangalore/red-rhino-whitefield-bangalore/info,19 km,10% OFF
Boho,4.1,"Continental, Asian, American, Mexican, Beverages, Desserts, Korean, Italian",275.0,https://www.zomato.com/bangalore/boho-koramangala-5th-block/info,4.8 km,10% OFF
Hoot,4.2,"Continental, Italian, North Indian, Beverages",1000.0,https://www.zomato.com/bangalore/hoot-sarjapur-road/info,11.1 km,10% OFF
