Restaurant,Ratings,Cusine,Price_For_1,Links,Distance,Offers
WOW! Momo,3.4,"Momos, Fast Food, Chinese, Tibetan, Sichuan, Beverages, Desserts",200.0,https://www.zomato.com/bangalore/wow-momo-1-church-street-bangalore/info,1.2 km,15% OFF
Dhaba Social,4.0,"North Indian, Chinese, Seafood, Mughlai",425.0,https://www.zomato.com/bangalore/dhaba-social-brookefield/info,13.4 km,-
Graffiti by HOC,4.3,"Continental, Chinese, Modern Indian, Beverages",500.0,https://www.zomato.com/bangalore/graffiti-by-hoc-kalyan-nagar-bangalore/info,7.9 km,-
United Telugu Kitchens,3.8,South Indian,1000.0,https://www.zomato.com/bangalore/united-telugu-kitchens-kumaraswamy-layout-bangalore/info,9.9 km,-
Zarf - The Indian Kitchen,4.1,North Indian,1500.0,https://www.zomato.com/bangalore/zarf-the-indian-kitchen-whitefield-bangalore/info,14.8 km,25% OFF
The Spiceberry,4.2,"North Indian, Pasta, Pizza, Continental, Salad, Sandwich, Kebab, Desserts",500.0,https://www.zomato.com/bangalore/the-spiceberry-bellandur-bangalore/info,9.6 km,10% OFF
The Bah,New,"Continental, European, American, South Indian, North Indian",750.0,https://www.zomato.com/bangalore/the-bah-whitefield-bangalore/info,15.1 km,-
Dhwani,4.5,"North Indian, Bar Food, Continental, Chinese, Biryani, Pizza, Momos",650.0,https://www.zomato.com/bangalore/dhwani-indiranagar-bangalore/info,4.6 km,10% OFF
Taaza Thindi,4.7,"South Indian, Beverages",50.0,https://www.zomato.com/bangalore/taaza-thindi-jayanagar/info,5.4 km,-
"Cha Cha Cha - Dimsum, Sushi, Stir Fry",4.0,"Asian, Chinese",1250.0,https://www.zomato.com/bangalore/cha-cha-cha-dimsum-sushi-stir-fry-whitefield-bangalore/info,11.4 km,10% OFF
The Coffee Brewery,3.8,"Cafe, Coffee, Sandwich, Fast Food, Desserts, Tea, Beverages",400.0,https://www.zomato.com/bangalore/the-coffee-brewery-indiranagar-bangalore/info,5.2 km,10% OFF
Vegan Vogue,4.6,"North Indian, Italian, Continental, Chinese, Desserts, Tea, Juices, Beverages",600.0,https://www.zomato.com/bangalore/vegan-vogue-indiranagar-bangalore/info,5.7 km,10% OFF
DYCE,3.9,"Continental, Pizza, Mexican, Burger, Beverages",600.0,https://www.zomato.com/bangalore/dyce-2-jayanagar-bangalore/info,5.5 km,10% OFF
Glass – Kitchen & Bar,4.4,"Modern Indian, North Indian, Continental, Biryani, Bar Food, Seafood, Desserts, Beverages",1750.0,https://www.zomato.com/bangalore/glass-kitchen-bar-race-course-road-bangalore/info,2 km,30% OFF
Absolute Shawarma,3.6,"Shawarma, Wraps, Burger, Momos, Pizza, Rolls, Shake, Beverages",275.0,https://www.zomato.com/bangalore/absolute-shawarma-basaveshwara-nagar-bangalore/info,6.7 km,-
MISU,4.6,"Asian, Chinese, Thai, Japanese",1000.0,https://www.zomato.com/bangalore/misu-st-marks-road-bangalore/info,693 m,-
Third Wave Coffee,4.2,"Cafe, Coffee, Sandwich, Pizza, Fast Food, Tea, Beverages",350.0,https://www.zomato.com/bangalore/third-wave-coffee-1-indiranagar-bangalore/info,5.6 km,-
Onesta,4.2,"Pizza, Pasta, Sandwich, Fast Food, Desserts, Beverages",500.0,https://www.zomato.com/bangalore/onesta-indiranagar-bangalore/info,5.4 km,-
Tuk Tuk Thai - Pure Veg Asian Fine Dine,4.4,"Thai, Salad, Sushi, Desserts",750.0,https://www.zomato.com/bangalore/tuk-tuk-thai-pure-veg-asian-fine-dine-1-jp-nagar-bangalore/info,7.4 km,-
Garden By Su,New,"Italian, Asian, Japanese, Thai, Salad, Fast Food, Desserts, Beverages",800.0,https://www.zomato.com/bangalore/garden-by-su-jayanagar-bangalore/info,6.2 km,-
SodaBottleOpenerWala,4.4,"Parsi, North Indian, Street Food, Desserts, Beverages",900.0,https://www.zomato.com/bangalore/sodabottleopenerwala-lavelle-road-bangalore/info,368 m,15% OFF
The Whitefield Arms Pub & Microbrewery,4.1,"Modern Indian, Continental, BBQ",1000.0,https://www.zomato.com/bangalore/the-whitefield-arms-pub-microbrewery-whitefield-bangalore/info,11.3 km,15% OFF
World On A Plate - Citrine Hotel,4.3,"Continental, Mexican, Italian, Chinese, North Indian, Oriental, Burger, Desserts",900.0,https://www.zomato.com/bangalore/world-on-a-plate-citrine-hotel-seshadripuram-bangalore/info,2.7 km,15% OFF
Thirupathi Bhimas,4.0,"South Indian, Beverages",500.0,https://www.zomato.com/bangalore/thirupathi-bhimas-yelahanka-bangalore/info,13.6 km,10% OFF
Starbucks Coffee,4.1,"Cafe, Coffee, Desserts, Beverages",300.0,https://www.zomato.com/bangalore/starbucks-coffee-itpl-main-road-whitefield-bangalore/info,15.5 km,-
Andrea's Brasserie,4.5,"Pizza, Pasta, Asian, Salad, Desserts, Sushi, Beverages, Burger",800.0,https://www.zomato.com/bangalore/andreas-brasserie-yelahanka-bangalore/info,11.1 km,-
Murphy's Brewhouse - The Paul Bangalore,4.3,"Continental, Mexican, Italian, Fast Food, North Indian, Irish, Desserts, Beverages",1000.0,https://www.zomato.com/bangalore/murphys-brewhouse-the-paul-bangalore-domlur-bangalore/info,5.3 km,15% OFF
Restaurant Chef Pillai,4.5,Kerala,500.0,https://www.zomato.com/bangalore/restaurant-chef-pillai-brigade-road-bangalore/info,1.4 km,15% OFF
Arogya Ahaara,4.7,South Indian,50.0,https://www.zomato.com/bangalore/arogya-ahaara-hsr/info,7.6 km,-
The Kind Roastery and Brew Room,4.3,"Cafe, Coffee, Desserts, Asian, Pizza, Tea, Beverages, Pasta",250.0,https://www.zomato.com/bangalore/the-kind-roastery-and-brew-room-bellandur-bangalore/info,11.3 km,-
Coco's Bar & Kitchen,3.9,"Bar Food, Italian, North Indian, South Indian, Asian, Thai, Fast Food, Beverages",900.0,https://www.zomato.com/bangalore/cocos-bar-kitchen-church-street-bangalore/info,1.2 km,-
Sangam Sweets - Since 1964,3.8,"Mithai, Street Food, Fast Food, Beverages",150.0,https://www.zomato.com/bangalore/sangam-sweets-since-1964-hsr-bangalore/info,8.4 km,-
Pizza Hut,3.9,"Pizza, Italian, Pasta, Fast Food, Desserts, Beverages",300.0,https://www.zomato.com/bangalore/pizza-hut-1-hsr-bangalore/info,7.9 km,-
Spice Terrace - JW Marriott,4.2,"North Indian, Mughlai, Desserts",1750.0,https://www.zomato.com/bangalore/spice-terrace-jw-marriott-lavelle-road/info,110 m,15% OFF
Falak,4.6,"North Indian, Awadhi, Mughlai, Biryani, Desserts",2000.0,https://www.zomato.com/bangalore/falak-3-jakkur-bangalore/info,13.6 km,15% OFF
Basil Bistro,4.1,"Continental, Italian, North Indian, Asian, Pizza, Desserts, Coffee, Beverages",900.0,https://www.zomato.com/bangalore/basil-bistro-hsr-bangalore/info,8.6 km,10% OFF
Tastique,4.5,"North Indian, Chinese, Beverages",750.0,https://www.zomato.com/bangalore/tastique-6-nagawara-bangalore/info,8.1 km,10% OFF
Waves - Bar & Kitchen,4.2,"North Indian, Biryani, Chinese, Pizza, Pasta, Salad, Desserts",600.0,https://www.zomato.com/bangalore/waves-bar-kitchen-sarjapur-road-bangalore/info,23.4 km,20% OFF
Bg'S Poolside Bar & Grill - Courtyard By Marriott,4.2,"Mediterranean, Italian, Mexican, Fast Food, Desserts",1000.0,https://www.zomato.com/bangalore/bgs-poolside-bar-grill-courtyard-by-marriott-bellandur-bangalore/info,10.7 km,20% OFF
Fireside: Flame Craft Dining,4.4,Continental,1000.0,https://www.zomato.com/bangalore/fireside-flame-craft-dining-kalyan-nagar-bangalore/info,7.7 km,-
Blue Tokai Coffee Roasters,4.1,"Cafe, Coffee, Beverages",300.0,https://www.zomato.com/bangalore/blue-tokai-coffee-roasters-jayanagar-bangalore/info,5.5 km,-
Taiki,4.2,"Korean, Japanese, Sushi, Salad, Desserts, Tea, Beverages",350.0,https://www.zomato.com/bangalore/taiki-jp-nagar-bangalore/info,7.3 km,-
The Watering Hole,4.2,"Continental, North Indian, European, Asian, Desserts, Beverages",700.0,https://www.zomato.com/bangalore/the-watering-hole-btm-bangalore/info,7.5 km,10% OFF
Barrel House,4.1,"Biryani, North Indian, Chinese, Continental, Sichuan, Beverages",600.0,https://www.zomato.com/bangalore/barrel-house-3-bannerghatta-road-bangalore/info,10.5 km,10% OFF
The Biere Club,4.2,"Bar Food, Continental, Italian, Wraps, Salad, Middle Eastern, Pizza",1300.0,https://www.zomato.com/bangalore/the-biere-club-lavelle-road-bangalore/info,348 m,10% OFF
Teavaro,4.2,"Tea, Fast Food, Sandwich, Desserts, Coffee, Bubble Tea, Burger, Beverages",250.0,https://www.zomato.com/bangalore/teavaro-koramangala-5th-block-bangalore/info,5 km,-
Tuk Tuk Thai - Pure Veg Asian Fine Dine,4.6,"Thai, Asian, Chinese, Desserts, Beverages",750.0,https://www.zomato.com/bangalore/tuk-tuk-thai-pure-veg-asian-fine-dine-koramangala-5th-block-bangalore/info,5.2 km,-
Broadway - The Gourmet Theatre,4.3,"Chinese, North Indian, Mughlai, Biryani, Asian, Japanese, Sushi, Beverages",1000.0,https://www.zomato.com/bangalore/broadway-the-gourmet-theatre-hsr/info,8.2 km,10% OFF
The Broth Station,4.3,"Asian, Korean, Continental, Desserts, Japanese, Thai, Beverages",325.0,https://www.zomato.com/bangalore/the-broth-station-btm-bangalore/info,10.3 km,10% OFF
Eating Love,New,"Pizza, Pasta, Rolls, Beverages, Desserts, Italian, Salad",500.0,https://www.zomato.com/bangalore/eating-love-jayanagar-bangalore/info,5.9 km,10% OFF
WOW! Chicken by WOW! Momo,3.9,"Burger, American, Fast Food, Beverages",200.0,https://www.zomato.com/bangalore/wow-chicken-by-wow-momo-itpl-main-road-whitefield-bangalore/info,14.6 km,15% OFF
Espressoulster Coffee,4.7,"Cafe, Coffee, Fast Food",330.0,https://www.zomato.com/bangalore/espressoulster-coffee-2-koramangala-4th-block-bangalore/info,5.7 km,10% OFF
Feast - Sheraton Grand Bengaluru Whitefield Hotel & Convention Centre,4.5,"Continental, South Indian, North Indian, Desserts, Beverages",1750.0,https://www.zomato.com/bangalore/feast-sheraton-grand-bengaluru-whitefield-hotel-convention-centre-whitefield-bangalore/info,14.7 km,20% OFF
B Town Barbeque,4.0,"BBQ, South Indian, Chinese, Salad, Desserts",850.0,https://www.zomato.com/bangalore/b-town-barbeque-rajarajeshwari-nagar-bangalore/info,12 km,10% OFF
Sanchez,New,"Mexican, Beverages, Desserts",1000.0,https://www.zomato.com/bangalore/sanchez-nagawara-bangalore/info,8.3 km,10% OFF
Snacafe,3.9,"Chinese, Fast Food, Street Food, Shawarma, Momos, Sandwich, Shake, Beverages",150.0,https://www.zomato.com/bangalore/snacafe-itpl-main-road-whitefield-bangalore/info,18 km,-
Little Baghdad,3.9,"Shawarma, Arabian, Fast Food, BBQ, Desserts",500.0,https://www.zomato.com/bangalore/little-baghdad-kammanahalli-bangalore/info,6.8 km,-
Meghana Foods,4.2,"Biryani, Andhra, North Indian, Seafood",500.0,https://www.zomato.com/bangalore/meghana-foods-residency-road/info,1.6 km,-
IBC - Indian Biryani Company,4.2,"Biryani, North Indian, Chinese, Desserts, Beverages",325.0,https://www.zomato.com/bangalore/ibc-indian-biryani-company-hsr-bangalore/info,8 km,-
1 BHK - Bar House Kitchen,4.3,"Continental, Italian, Pizza, Sandwich, Desserts, Shake, Beverages",700.0,https://www.zomato.com/bangalore/1-bhk-bar-house-kitchen-1-koramangala-6th-block-bangalore/info,4.9 km,-
Fat Owl,4.2,"North Indian, Salad, Fast Food, Chinese, Seafood, Pizza, Italian, Bar Food",900.0,https://www.zomato.com/bangalore/fat-owl-jp-nagar-bangalore/info,7.4 km,-
Jetlag,4.0,"North Indian, Continental, South Indian, Italian, Chinese, Kebab, Desserts, Beverages",1000.0,https://www.zomato.com/bangalore/jetlag-rajajinagar-bangalore/info,6.3 km,10% OFF
On De Roof Restaurant,3.5,"South Indian, Biryani, Chinese, BBQ, Seafood, Desserts, Shake, Beverages",500.0,https://www.zomato.com/bangalore/on-de-roof-restaurant-yelahanka-bangalore/info,15.4 km,10% OFF
Tiamo - Conrad Bengaluru,4.0,"Italian, Mediterranean, Fast Food",1500.0,https://www.zomato.com/bangalore/tiamo-conrad-bengaluru-ulsoor/info,2.8 km,15% OFF
Neon Market,4.0,"Cafe, Coffee, Japanese, Tea, Beverages",500.0,https://www.zomato.com/bangalore/neon-market-indiranagar-bangalore/info,4.9 km,-
LE KÉNE,4.0,"Cafe, Coffee, Fast Food, Desserts",300.0,https://www.zomato.com/bangalore/le-k%C3%A9ne-1-hsr-bangalore/info,8.3 km,-
Thalairaj Biryani,3.9,"Andhra, Biryani, Hyderabadi, South Indian, Indian, Kebabs, Snacks, Beverages",250.0,https://www.zomato.com/bangalore/thalairaj-biryani-itpl-main-road-whitefield-bangalore/info,15.5 km,-
